species_name,common_name,vocal_learning_status_Wirthlin2024,vocal_learner_binary,species_class,group_living,brain_mass_g,adult_body_mass_g,neonate_body_mass_g_PanTHERIA,adult_body_mass_g_PanTHERIA,obstetric_risk,HAQER_sequence_similarity,HAR_sequence_similarity
Bubalus_bubalis,Water buffalo,non_vocal_learner,0,Non-primates,1,NA,NA,NA,NA,NA,47.978896758684115,86.31643280200342
Ammotragus_lervia,Aoudad,non_vocal_learner,0,Non-primates,0,209,110000,4500,94202.22,0.8615422387773165,47.34726141226703,85.90565575344915
Capra_aegagrus,Wild goat,non_vocal_learner,0,Non-primates,NA,NA,NA,NA,NA,NA,46.970155737812824,85.77838004597731
Capra_hircus,Goat,non_vocal_learner,0,Non-primates,1,115,27660,2136.11,47386.47,0.7630489984192034,47.3878834544384,85.95029416488799
Hemitragus_hylocrius,Nilgiri tahr,non_vocal_learner,0,Non-primates,NA,NA,NA,NA,NA,NA,47.38984666512145,86.03821448790295
Ovis_aries,Sheep,non_vocal_learner,0,Non-primates,0,175,55500,2376.24,39097.89,0.8645875553777129,47.17059441511783,85.82069774298596
Ovis_canadensis,Bighorn sheep,non_vocal_learner,0,Non-primates,NA,NA,NA,4115.85,74644.87,0.8936445952452252,47.46432947186226,86.0436985833137
Elaphurus_davidianus,Pere david's deer,non_vocal_learner,0,Non-primates,NA,NA,NA,10467.5,165989.17,1.0186330082434312,47.999535525823475,86.70441747275774
Odocoileus_virginianus,White-tailed deer,non_vocal_learner,0,Non-primates,NA,210,65090,2949.99,75901.25,0.7580798931359702,48.1816506637008,86.28209263428114
Rangifer_tarandus,Siberian reindeer,non_vocal_learner,0,Non-primates,NA,278,71700,5490.62,109088.5,0.8962183108552488,48.21966124468676,86.37042896600344
Giraffa_tippelskirchi,Giraffe,non_vocal_learner,0,Non-primates,NA,NA,NA,NA,NA,NA,48.32712663618754,86.17773659898133
Okapia_johnstoni,Okapi,non_vocal_learner,0,Non-primates,0,501,240000,18325.61,230001.14,1.1289613257909208,48.31521597115159,86.11745643858903
Moschus_moschiferus,Siberian musk deer,non_vocal_learner,0,Non-primates,0,NA,NA,498.39,13315.57,0.5069897957257337,47.87475261150504,86.25766952399711
Tragulus_javanicus,Java lesser chevrotain,non_vocal_learner,0,Non-primates,0,15.8,2037,NA,NA,NA,46.77033050827531,85.39934229481486
Sus_scrofa,Pig,non_vocal_learner,0,Non-primates,1,169.8,86772.73,807.77,84471.54,0.22495993326649,47.672152881937,86.48871327673464
Catagonus_wagneri,Chacoan peccary,non_vocal_learner,0,Non-primates,1,NA,NA,600.2,35566.4,0.314784150539458,47.59873763296646,86.22117286032685
Camelus_bactrianus,Bactrian camel,non_vocal_learner,0,Non-primates,1,575,400000,34346.64,554515.91,1.1051252808397587,49.50523346219799,86.4084497763372
Camelus_dromedarius,Arabian camel,non_vocal_learner,0,Non-primates,NA,762,400000,36751.19,492714.47,1.1592876703789468,49.471111983222755,86.46043314634198
Camelus_ferus,Wild bactrian camel,non_vocal_learner,0,Non-primates,NA,NA,NA,NA,NA,NA,49.323075401363745,86.60386575479919
Vicugna_pacos,Alpaca,non_vocal_learner,0,Non-primates,NA,NA,NA,NA,NA,NA,49.60682336992039,86.6841672152732
Eubalaena_japonica,North pacific right whale,high_confidence_vocal_learner,1,Non-primates,0,NA,NA,NA,NA,NA,51.38234562983507,87.53433340376084
Balaenoptera_bonaerensis,Antarctic minke whale,suspected_vocal_learner,1,Non-primates,NA,NA,NA,NA,NA,NA,51.2063108371689,87.30444960648121
Balaenoptera_acutorostrata,Common minke whale,suspected_vocal_learner,1,Non-primates,NA,2850,5587093.59,NA,NA,NA,50.98070901313202,87.21952275806859
Eschrichtius_robustus,Grey whale,suspected_vocal_learner,1,Non-primates,0,4316.67,30000000.02,500000,27324024.19,1.0021982504249638,51.38591403542549,87.22750630235217
Orcinus_orca,Killer whale,high_confidence_vocal_learner,1,Non-primates,1,6052,3273000,158745.07,5628758.66,1.0201938413673326,50.94423038545968,86.67445051320615
Tursiops_truncatus,Bottlenose dolphin,high_confidence_vocal_learner,1,Non-primates,1,1573,170480,24369.6,281040.55,1.1731423156383878,50.894170216015056,86.55962782253489
