IID,f_HAQERs,f_HARs,f_RAND,f_HAQERs_matched
sample29,-0.2795,0.01961,-0.04245,-0.06471
sample291,-0.3573,-0.04006,-0.06327,0.03008
sample292,-0.2452,0.0324,0.006736,0.05215
sample293,-0.2979,0.004693,0.08032,-0.00368
sample294,-0.2674,-0.03367,-0.05842,0.02707
sample295,-0.3113,-0.04859,-0.01786,0.03527
sample298,-0.3104,-0.05072,-0.001977,0.01839
sample299,-0.273,0.02174,-0.06137,0.0257
sample3,-0.287,-0.0763,0.008628,-0.007575
sample30,-0.2955,-0.08482,-0.02543,-0.02835
sample300,-0.3361,-0.05285,-0.0311,-0.004978
sample301,-0.2842,-0.1061,-0.003824,0.006708
sample302,-0.2308,-0.01023,-0.01786,0.04281
sample304,-0.284,-0.03154,-0.006508,-0.04799
sample305,-0.2794,-0.05498,0.004844,-0.004978
sample306,-0.3313,-0.05498,-0.08975,0.0132
sample307,-0.2932,-0.04006,0.02566,0.009305
sample309,-0.3067,-0.01662,-0.06327,-0.02705
sample31,-0.2543,0.04306,0.004844,-0.008221
sample310,-0.2855,-0.02088,-0.003671,-0.00834
sample311,-0.199,0.01535,-0.08499,-0.05608
sample312,-0.296,-0.05925,0.03811,-0.01277
sample313,-0.3121,0.01748,-0.0311,0.005409
sample315,-0.2729,-0.08482,-0.08885,0.06084
sample316,-0.2682,-0.01449,0.02944,0.03787
sample317,-0.2478,4.305e-4,-0.06199,0.03657
sample318,-0.2549,0.05158,-0.05699,0.0106
sample319,-0.2765,-0.1125,0.004844,0.0119
sample32,-0.2893,-0.03367,-0.03744,-0.04944
sample321,-0.2728,-0.03476,0.05056,0.01829
sample322,-0.3108,-0.04006,-0.03299,-0.02965
sample323,-0.2505,-0.06351,0.0389,0.01256
sample324,-0.2124,0.01109,-0.02354,0.02605
sample325,-0.2577,0.004693,0.01558,0.0132
sample326,-0.2342,-0.08695,-0.03678,0.002812
sample327,-0.2943,-0.01023,-0.05759,-0.006277
sample328,-0.2594,0.02387,0.0162,-0.00368
sample329,-0.2283,0.04092,0.002952,0.03008
sample33,-0.3119,-0.08695,-0.02732,0.0145
sample330,-0.2237,-0.05285,-0.02732,0.0106
sample331,-0.2886,-0.001701,0.02187,0.03086
