FID,IID,molecular_sex,lat,long,assessment,sample_age,sample_age_GRM_adj,cp_pgs.HAQER,cp_pgs.background,cp_pgs.matched
2517,VK294_noUDG.SG,F,55.56,11.25,PASS,1075,1621,0.08150752010795095,1.685845864994716,-0.15237700441507934
2526,VK316_noUDG.SG,M,55.51,10.45,PASS,1000,1170,-0.5257170177659536,1.3824156249951836,0.521237989507136
2528,VK320_noUDG.SG,M,54.87,10.72,PASS,1000,1331,1.4451724479943588,-0.48728341055966107,-0.9035351778194713
2529,VK322_noUDG.SG,F,55.33,8.76,PASS,934,1073,-0.1044979345835823,1.6343822344948313,1.3128646684480951
2530,VK323_noUDG.SG,M,55.33,8.76,PASS,1000,1017,1.0743942706572192,-0.822112842526636,0.7657446549287185
2531,VK324_noUDG.SG,M,55.33,8.76,PASS,935,859,0.3267946427775806,0.9809181950394273,-0.3323942881268717
2533,VK326_noUDG.SG,M,55.33,8.76,PASS,1026,1407,1.6331000426987112,-0.1261596818656938,-0.33083642554716947
2534,VK327_noUDG.SG,M,55.33,8.76,PASS,979,1382,0.7579313095757589,2.8088640845948785,1.0693743949893197
2535,VK328_noUDG.SG,F,55.33,8.76,PASS,1104,1092,0.5387566546412609,1.1513123056665298,-0.6168250874382546
2536,VK329_noUDG.SG,M,55.33,8.76,PASS,1183,569,0.17191976973878437,0.38668500952204937,2.7797390311123893
2537,VK330_noUDG.SG,F,55.33,8.76,PASS,896,1119,-0.5245626127551469,-0.2196799137409557,0.037753563758015814
2540,VK361_noUDG.SG,F,54.87,10.72,PASS,1000,980,-1.6096588243398597,0.22237949664982273,-0.5856619629279342
2542,VK363_noUDG.SG,M,54.87,10.72,PASS,1000,1324,0.6949974914533272,-0.1845696701195764,0.6289317046248359
2543,VK364_noUDG.SG,F,54.87,10.72,PASS,1000,1707,2.1928412093710623,0.2336934322961802,-1.1163386775080775
2546,VK367_noUDG.SG,M,54.87,10.72,PASS,1000,1749,-0.06734278896321422,1.0569230368821105,-1.0375110598962398
2547,VK368_noUDG.SG,F,54.87,10.72,PASS,1000,747,-0.7933295155611797,1.2170485945527392,0.7214185481830747
2548,VK369_noUDG.SG,M,55.56,11.25,PASS,1075,1121,-0.80848232019605,0.8257553093286136,-0.6592773196540971
2549,VK370_noUDG.SG,F,55.5,10.33,PASS,1000,1811,-0.41304982111902094,-0.2554389662845756,1.7759006966423738
2551,VK372_noUDG.SG,F,55.5,10.33,PASS,1000,1221,-0.6033230149120952,0.4809942895642667,0.4011089764583084
2552,VK373_noUDG.SG,M,55.5,10.33,PASS,1000,1220,-0.3321328377629036,1.359937927715275,0.27966968853608803
2554,VK384_noUDG.SG,M,55.95,10.2,PASS,1075,798,-0.9702484017874929,-1.4607261397185585,0.427117556814891
2555,VK385_noUDG.SG,F,55.6,11.95,PASS,1075,857,0.5218666300171599,1.6635937205040052,-0.9793762199249239
2557,VK445_noUDG.SG,M,55.62,11.97,PASS,1000,1207,-0.673138249216295,2.158645709074107,1.6637774809067465
2558,VK446_noUDG.SG,M,55.5,10.33,PASS,1000,864,-1.4625825593750248,2.008570635470947,-0.8323586483667245
2559,VK84_noUDG.SG,F,55.95,10.2,PASS,1075,901,-0.9719443813607633,-0.6797019975558651,0.9558826044446118
2560,VK87_noUDG.SG,M,55.95,10.2,PASS,1075,1231,0.6268664211467216,0.17870529328416365,-0.7396490918322445
2564,KPN001.A_noUDG,F,55.675268,12.568294,PASS,900,1067,1.491838541404548,-0.047446820645202135,-0.6819499922707468
2566,KPN003.A_noUDG,F,55.675268,12.568294,PASS,900,818,-0.24997154989788672,-0.7246536428713362,0.14515393829011303
2567,KPN004.A_noUDG,F,55.675268,12.568294,PASS,900,826,0.18990039272950865,-0.05921206610894542,-0.2730764711270117
2568,KPN005.A_noUDG,F,55.675268,12.568294,PASS,900,1339,-0.041592455497459345,0.7429208031386194,-0.8071086784646321
2569,KPN006.A_noUDG,F,55.675268,12.568294,PASS,900,867,-0.15617549956521715,1.0812357777358332,0.9416483286990052
2570,KPN007.A_noUDG,F,55.675268,12.568294,PASS,900,742,0.5506370340221686,2.031438998176242,0.6307753234161306
2571,KPN008.A_noUDG,F,55.675268,12.568294,PASS,900,1142,0.9806753399993424,0.6791957723104559,0.36591659806862065
2573,KPN011.A_noUDG,M,55.675268,12.568294,PASS,900,881,-0.41306599631697727,-0.9299070457531687,-1.0732735363037542
2574,KPN012.A_noUDG,F,55.675268,12.568294,PASS,900,908,-1.0198397391050074,0.20622649739905283,-0.7992869350771794
2575,KPN013.A_noUDG,F,55.675268,12.568294,PASS,900,1332,0.2145221090288702,-0.3911138780166695,0.7435937820660079
2576,KPN014.A_noUDG,F,55.675268,12.568294,PASS,900,621,0.32870920006044047,-0.12495082045155334,0.5950852392181114
2754,I2418,F,51.168023,-1.7725402,PASS,4237,1973,-0.01921738395914709,0.6640224783252774,0.07034221946427632
2755,I2443,F,51.7977,-1.313464,PASS,4091,2504,-0.12948056884305983,0.35806071061365735,1.4478024857011855
2756,I2445,M,51.7977,-1.313464,PASS,4048,1714,-2.127032501576455,-0.6401345005363245,-1.302738567594909
2757,I2447,M,51.7977,-1.313464,PASS,3938,2286,-1.4327359707528675,0.0917257713486301,-1.9585565812664631
