species_name,common_name,vocal_learning_status_Wirthlin2024,vocal_learner_binary,group_living,brain_mass_g,adult_body_mass_g,brain_body_ratio,longevity,gestation_days,birth_weight_g,HAQER_matching_bases,HAQER_alignment_base_length,HAQER_sequence_similarity,HAR_matching_bases,HAR_alignment_base_length,HAR_sequence_similarity,HAQER_sequence_similarity_scaled,HAR_sequence_similarity_scaled,neonate_body_mass_g_PanTHERIA,adult_body_mass_g_PanTHERIA,obstetric_risk
Sigmodon_hispidus,Hispid cotton rat,non_vocal_learner,0,0,1.14,132.5,0.02681388444929777,5.17,27,6.6,85471,226849,37.67748590472076,478826,600280,79.76710868261479,-1.9290037435489018,-1.66440950916199,6.6,110.65,-0.6092021572235173
Acomys_cahirinus,Cairo spiny mouse,non_vocal_learner,0,1,0.7,31,-0.10386612491533972,4,38,5.49,87103,232850,37.407343783551646,481214,602712,79.84144997942633,-1.9918101364788754,-1.6387020306125708,5.49,41.16,-0.35726112518688635
Meriones_unguiculatus,Mongolian jird,non_vocal_learner,0,1,1.13,57.4,0.03017686315774257,2,25,2.9,85540,229823,37.21994752483433,480835,598976,80.27617133240732,-2.0353786218660117,-1.4883738774050197,2.85,57.75,-1.2387648411569068
Psammomys_obesus,Fat sand rat,non_vocal_learner,0,0,1.3,69.1,0.06194330640123029,3.5,24,6.25,85582,229602,37.27406555692024,482402,600660,80.31199014417474,-2.022796510001802,-1.475987607933407,6.2,102.15,-0.6382491316515584
Mus_pahari,Shrew mouse,non_vocal_learner,0,NA,NA,NA,NA,NA,NA,NA,85886,232880,36.87993816557884,483408,600357,80.52009054612506,-2.114428720846689,-1.4040257664171736,NA,NA,NA
Mus_caroli,Ryukyu mouse,non_vocal_learner,0,NA,NA,NA,NA,NA,NA,1.25,86156,232097,37.12068660947793,483316,600021,80.54984742200689,-2.0584561783221567,-1.3937357354217614,1.2,14.26,-2.074923330746657
Mus_musculus,House mouse,non_vocal_learner,0,NA,0.4,15.1,-0.3375299318495361,6,19,1.25,86552,233189,37.11667359952656,483587,600398,80.54440554432226,-2.05938917862121,-1.3956175556192336,1.06,19.3,-2.2906791418427166
Mus_spretus,Western mediterranean mouse,non_vocal_learner,0,NA,NA,NA,NA,NA,NA,1.25,85312,230827,36.95928119327462,483700,601069,80.4732900881596,-2.09598195159742,-1.4202095272721942,NA,NA,NA
Rattus_norvegicus,Brown rat,non_vocal_learner,0,1,8.03,359.5,0.35399927086410143,4,21,5.81,87065,236332,36.84012321649205,477988,599694,79.70531637801945,-2.123685453288152,-1.685777502633115,5.8,282.89,-1.0041864698450291
Cricetomys_gambianus,Gambian pouched rat,non_vocal_learner,0,0,6.57,1150,0.26711730860218624,7,34,23.1,95693,242401,39.477147371504245,492538,604520,81.47588169125918,-1.5105934462780952,-1.0735098699357175,22.68,1267.52,-0.4507584073279567
Nannospalax_galili,Upper galilee mountains blind mole rat,non_vocal_learner,0,0,NA,NA,NA,NA,NA,NA,109701,271099,40.46529127735624,499533,605089,82.55529351880467,-1.2808560245324239,-0.7002455122670481,NA,NA,NA
Aplodontia_rufa,Mountain beaver,non_vocal_learner,0,0,7.04,806,0.2916293706508437,6,29,23.35,142348,320131,44.465546916730965,521507,612171,85.18975907058649,-0.3508210251047421,0.2107618223682826,23.12,806.21,-0.3078288249663054
Glis_glis,Edible dormouse,non_vocal_learner,0,NA,1.9,148,0.12844238967838018,8.7,25,1.5,145210,304596,47.67298323024596,525308,608567,86.31884410426461,0.3948883242283724,0.6012033471823213,NA,NA,NA
Graphiurus_murinus,Woodland doormouse,non_vocal_learner,0,0,NA,NA,NA,5.9,24,3.5,134160,290478,46.18594179249375,521860,608628,85.74367265390353,0.049160273976815765,0.40230706265987193,3.49,20.07,-0.539606586657566
Muscardinus_avellanarius,Hazel dormouse,non_vocal_learner,0,0,NA,NA,NA,6,23,0.8,126906,285651,44.42694056733566,508136,601434,84.48740842719235,-0.3597967655010175,-0.03211346866945629,0.8,29.19,-2.669175925288667
